"","ssrm","hsr","ssr","ha","sa","sy","d"
"104",0.1,1,0.2,0,0.7,0.1,0.4
"105",0.1,1,0.2,0,0.7,0.2,0.35
"106",0.1,1,0.2,0,0.7,0.2,0.45
"107",0.1,1,0.2,0,0.7,0.3,0.35
"108",0.1,1,0.2,0,0.7,0.3,0.5
"109",0.1,1,0.2,0,0.7,0.4,0.35
"110",0.1,1,0.2,0,0.7,0.5,0.35
"111",0.1,1,0.2,0,0.7,0.6,0.35
"112",0.1,1,0.2,0,0.8,0.1,0.4
"113",0.1,1,0.2,0,0.8,0.2,0.35
"114",0.1,1,0.2,0,0.8,0.2,0.45
"115",0.1,1,0.2,0,0.8,0.3,0.35
"116",0.1,1,0.2,0,0.8,0.3,0.5
"117",0.1,1,0.2,0,0.8,0.4,0.35
"118",0.1,1,0.2,0,0.8,0.5,0.35
"119",0.1,1,0.2,0,0.8,0.6,0.35
"120",0.1,1,0.2,0,0.9,0.1,0.4
"121",0.1,1,0.2,0,0.9,0.2,0.35
"122",0.1,1,0.2,0,0.9,0.2,0.45
"123",0.1,1,0.2,0,0.9,0.3,0.35
"124",0.1,1,0.2,0,0.9,0.3,0.5
"125",0.1,1,0.2,0,0.9,0.4,0.35
"126",0.1,1,0.2,0,0.9,0.5,0.35
"127",0.1,1,0.2,0,0.9,0.6,0.35
"128",0.1,1,0.2,0,0,0.1,0.4
"129",0.1,1,0.2,0,0,0.2,0.35
"130",0.1,1,0.2,0,0,0.2,0.45
"131",0.1,1,0.2,0,0,0.3,0.35
"132",0.1,1,0.2,0,0,0.3,0.5
"133",0.1,1,0.2,0,0,0.4,0.35
"134",0.1,1,0.2,0,0,0.5,0.35
"135",0.1,1,0.2,0,0,0.6,0.35
"136",0.1,1,0.2,0,1,0.1,0.4
"137",0.1,1,0.2,0,1,0.2,0.35
"138",0.1,1,0.2,0,1,0.2,0.45
"139",0.1,1,0.2,0,1,0.3,0.35
"140",0.1,1,0.2,0,1,0.3,0.5
"141",0.1,1,0.2,0,1,0.4,0.35
"142",0.1,1,0.2,0,1,0.5,0.35
"143",0.1,1,0.2,0,1,0.6,0.35
"144",0.2,1,0.1,0,0.1,0.1,0.3
"145",0.2,1,0.1,0,0.1,0.1,0.35
"146",0.2,1,0.1,0,0.1,0.1,0.5
"147",0.2,1,0.1,0,0.1,0.2,0.3
"148",0.2,1,0.1,0,0.1,0.3,0.4
"149",0.2,1,0.1,0,0.1,0.4,0.4
"150",0.2,1,0.1,0,0.2,0.1,0.3
"151",0.2,1,0.1,0,0.2,0.1,0.35
"152",0.2,1,0.1,0,0.2,0.1,0.5
"153",0.2,1,0.1,0,0.2,0.2,0.3
"154",0.2,1,0.1,0,0.2,0.3,0.4
"155",0.2,1,0.1,0,0.2,0.4,0.4
"156",0.2,1,0.1,0,0.3,0.1,0.3
"157",0.2,1,0.1,0,0.3,0.1,0.35
"158",0.2,1,0.1,0,0.3,0.1,0.5
"159",0.2,1,0.1,0,0.3,0.2,0.3
"160",0.2,1,0.1,0,0.3,0.3,0.4
"161",0.2,1,0.1,0,0.3,0.4,0.4
"162",0.2,1,0.1,0,0.4,0.1,0.3
"163",0.2,1,0.1,0,0.4,0.1,0.35
"164",0.2,1,0.1,0,0.4,0.1,0.5
"165",0.2,1,0.1,0,0.4,0.2,0.3
"166",0.2,1,0.1,0,0.4,0.3,0.4
"167",0.2,1,0.1,0,0.4,0.4,0.4
"168",0.2,1,0.1,0,0.5,0.1,0.3
"169",0.2,1,0.1,0,0.5,0.1,0.35
"170",0.2,1,0.1,0,0.5,0.1,0.5
"171",0.2,1,0.1,0,0.5,0.2,0.3
"172",0.2,1,0.1,0,0.5,0.3,0.4
"173",0.2,1,0.1,0,0.5,0.4,0.4
"174",0.2,1,0.1,0,0.6,0.1,0.3
"175",0.2,1,0.1,0,0.6,0.1,0.35
"176",0.2,1,0.1,0,0.6,0.1,0.5
"177",0.2,1,0.1,0,0.6,0.2,0.3
"178",0.2,1,0.1,0,0.6,0.3,0.4
"179",0.2,1,0.1,0,0.6,0.4,0.4
"180",0.2,1,0.1,0,0.7,0.1,0.3
"181",0.2,1,0.1,0,0.7,0.1,0.35
"182",0.2,1,0.1,0,0.7,0.1,0.5
"183",0.2,1,0.1,0,0.7,0.2,0.3
"184",0.2,1,0.1,0,0.7,0.3,0.4
"185",0.2,1,0.1,0,0.7,0.4,0.4
"186",0.2,1,0.1,0,0.8,0.1,0.3
"187",0.2,1,0.1,0,0.8,0.1,0.35
"188",0.2,1,0.1,0,0.8,0.1,0.5
"189",0.2,1,0.1,0,0.8,0.2,0.3
"190",0.2,1,0.1,0,0.8,0.3,0.4
"191",0.2,1,0.1,0,0.8,0.4,0.4
"192",0.2,1,0.1,0,0.9,0.1,0.3
"193",0.2,1,0.1,0,0.9,0.1,0.35
"194",0.2,1,0.1,0,0.9,0.1,0.5
"195",0.2,1,0.1,0,0.9,0.2,0.3
"196",0.2,1,0.1,0,0.9,0.3,0.4
"197",0.2,1,0.1,0,0.9,0.4,0.4
"198",0.2,1,0.1,0,0,0.1,0.3
"199",0.2,1,0.1,0,0,0.1,0.35
"200",0.2,1,0.1,0,0,0.1,0.5
"201",0.2,1,0.1,0,0,0.2,0.3
"202",0.2,1,0.1,0,0,0.3,0.4
"203",0.2,1,0.1,0,0,0.4,0.4
"204",0.2,1,0.1,0,1,0.1,0.3
"205",0.2,1,0.1,0,1,0.1,0.35
"206",0.2,1,0.1,0,1,0.1,0.5
"207",0.2,1,0.1,0,1,0.2,0.3
"208",0.2,1,0.1,0,1,0.3,0.4
"209",0.2,1,0.1,0,1,0.4,0.4
"210",0.2,1,0.2,0,0.1,0.1,0.5
"211",0.2,1,0.2,0,0.1,0.2,0.5
"212",0.2,1,0.2,0,0.1,0.3,0.45
"213",0.2,1,0.2,0,0.1,0.4,0.45
"214",0.2,1,0.2,0,0.1,0.5,0.45
"215",0.2,1,0.2,0,0.1,0.6,0.45
"216",0.2,1,0.2,0,0.1,0.7,0.45
"217",0.2,1,0.2,0,0.1,0.8,0.45
"218",0.2,1,0.2,0,0.2,0.1,0.5
"219",0.2,1,0.2,0,0.2,0.2,0.5
"220",0.2,1,0.2,0,0.2,0.3,0.45
"221",0.2,1,0.2,0,0.2,0.4,0.45
"222",0.2,1,0.2,0,0.2,0.5,0.45
"223",0.2,1,0.2,0,0.2,0.6,0.45
"224",0.2,1,0.2,0,0.2,0.7,0.45
"225",0.2,1,0.2,0,0.2,0.8,0.45
"226",0.2,1,0.2,0,0.3,0.1,0.5
"227",0.2,1,0.2,0,0.3,0.2,0.5
"228",0.2,1,0.2,0,0.3,0.3,0.45
"229",0.2,1,0.2,0,0.3,0.4,0.45
"230",0.2,1,0.2,0,0.3,0.5,0.45
"231",0.2,1,0.2,0,0.3,0.6,0.45
"232",0.2,1,0.2,0,0.3,0.7,0.45
"233",0.2,1,0.2,0,0.3,0.8,0.45
"234",0.2,1,0.2,0,0.4,0.1,0.5
"235",0.2,1,0.2,0,0.4,0.2,0.5
"236",0.2,1,0.2,0,0.4,0.3,0.45
"237",0.2,1,0.2,0,0.4,0.4,0.45
"238",0.2,1,0.2,0,0.4,0.5,0.45
"239",0.2,1,0.2,0,0.4,0.6,0.45
"240",0.2,1,0.2,0,0.4,0.7,0.45
"241",0.2,1,0.2,0,0.4,0.8,0.45
"242",0.2,1,0.2,0,0.5,0.1,0.5
"243",0.2,1,0.2,0,0.5,0.2,0.5
"244",0.2,1,0.2,0,0.5,0.3,0.45
"245",0.2,1,0.2,0,0.5,0.4,0.45
"246",0.2,1,0.2,0,0.5,0.5,0.45
"247",0.2,1,0.2,0,0.5,0.6,0.45
"248",0.2,1,0.2,0,0.5,0.7,0.45
"249",0.2,1,0.2,0,0.5,0.8,0.45
"250",0.2,1,0.2,0,0.6,0.1,0.5
"251",0.2,1,0.2,0,0.6,0.2,0.5
"252",0.2,1,0.2,0,0.6,0.3,0.45
"253",0.2,1,0.2,0,0.6,0.4,0.45
"254",0.2,1,0.2,0,0.6,0.5,0.45
"255",0.2,1,0.2,0,0.6,0.6,0.45
"256",0.2,1,0.2,0,0.6,0.7,0.45
"257",0.2,1,0.2,0,0.6,0.8,0.45
"258",0.2,1,0.2,0,0.7,0.1,0.5
"259",0.2,1,0.2,0,0.7,0.2,0.5
"260",0.2,1,0.2,0,0.7,0.3,0.45
"261",0.2,1,0.2,0,0.7,0.4,0.45
"262",0.2,1,0.2,0,0.7,0.5,0.45
"263",0.2,1,0.2,0,0.7,0.6,0.45
"264",0.2,1,0.2,0,0.7,0.7,0.45
"265",0.2,1,0.2,0,0.7,0.8,0.45
"266",0.2,1,0.2,0,0.8,0.1,0.5
"267",0.2,1,0.2,0,0.8,0.2,0.5
"268",0.2,1,0.2,0,0.8,0.3,0.45
"269",0.2,1,0.2,0,0.8,0.4,0.45
"270",0.2,1,0.2,0,0.8,0.5,0.45
"271",0.2,1,0.2,0,0.8,0.6,0.45
"272",0.2,1,0.2,0,0.8,0.7,0.45
"273",0.2,1,0.2,0,0.8,0.8,0.45
"274",0.2,1,0.2,0,0.9,0.1,0.5
"275",0.2,1,0.2,0,0.9,0.2,0.5
"276",0.2,1,0.2,0,0.9,0.3,0.45
"277",0.2,1,0.2,0,0.9,0.4,0.45
"278",0.2,1,0.2,0,0.9,0.5,0.45
"279",0.2,1,0.2,0,0.9,0.6,0.45
"280",0.2,1,0.2,0,0.9,0.7,0.45
"281",0.2,1,0.2,0,0.9,0.8,0.45
"282",0.2,1,0.2,0,0,0.1,0.5
"283",0.2,1,0.2,0,0,0.2,0.5
"284",0.2,1,0.2,0,0,0.3,0.45
"285",0.2,1,0.2,0,0,0.4,0.45
"286",0.2,1,0.2,0,0,0.5,0.45
"287",0.2,1,0.2,0,0,0.6,0.45
"288",0.2,1,0.2,0,0,0.7,0.45
"289",0.2,1,0.2,0,0,0.8,0.45
"290",0.2,1,0.2,0,1,0.1,0.5
"291",0.2,1,0.2,0,1,0.2,0.5
"292",0.2,1,0.2,0,1,0.3,0.45
"293",0.2,1,0.2,0,1,0.4,0.45
"294",0.2,1,0.2,0,1,0.5,0.45
"295",0.2,1,0.2,0,1,0.6,0.45
"296",0.2,1,0.2,0,1,0.7,0.45
"297",0.2,1,0.2,0,1,0.8,0.45
"298",0.3,1,0.1,0,0.1,0.1,0.4
"299",0.3,1,0.1,0,0.1,0.1,0.45
"300",0.3,1,0.1,0,0.1,0.2,0.4
"301",0.3,1,0.1,0,0.1,0.2,0.45
"302",0.3,1,0.1,0,0.1,0.3,0.4
"303",0.3,1,0.1,0,0.2,0.1,0.4
"304",0.3,1,0.1,0,0.2,0.1,0.45
"305",0.3,1,0.1,0,0.2,0.2,0.4
"306",0.3,1,0.1,0,0.2,0.2,0.45
"307",0.3,1,0.1,0,0.2,0.3,0.4
"308",0.3,1,0.1,0,0.3,0.1,0.4
"309",0.3,1,0.1,0,0.3,0.1,0.45
"310",0.3,1,0.1,0,0.3,0.2,0.4
"311",0.3,1,0.1,0,0.3,0.2,0.45
"312",0.3,1,0.1,0,0.3,0.3,0.4
"313",0.3,1,0.1,0,0.4,0.1,0.4
"314",0.3,1,0.1,0,0.4,0.1,0.45
"315",0.3,1,0.1,0,0.4,0.2,0.4
"316",0.3,1,0.1,0,0.4,0.2,0.45
"317",0.3,1,0.1,0,0.4,0.3,0.4
"318",0.3,1,0.1,0,0.5,0.1,0.4
"319",0.3,1,0.1,0,0.5,0.1,0.45
"320",0.3,1,0.1,0,0.5,0.2,0.4
"321",0.3,1,0.1,0,0.5,0.2,0.45
"322",0.3,1,0.1,0,0.5,0.3,0.4
"323",0.3,1,0.1,0,0.6,0.1,0.4
"324",0.3,1,0.1,0,0.6,0.1,0.45
"325",0.3,1,0.1,0,0.6,0.2,0.4
"326",0.3,1,0.1,0,0.6,0.2,0.45
"327",0.3,1,0.1,0,0.6,0.3,0.4
"328",0.3,1,0.1,0,0.7,0.1,0.4
"329",0.3,1,0.1,0,0.7,0.1,0.45
"330",0.3,1,0.1,0,0.7,0.2,0.4
"331",0.3,1,0.1,0,0.7,0.2,0.45
"332",0.3,1,0.1,0,0.7,0.3,0.4
"333",0.3,1,0.1,0,0.8,0.1,0.4
"334",0.3,1,0.1,0,0.8,0.1,0.45
"335",0.3,1,0.1,0,0.8,0.2,0.4
"336",0.3,1,0.1,0,0.8,0.2,0.45
"337",0.3,1,0.1,0,0.8,0.3,0.4
"338",0.3,1,0.1,0,0.9,0.1,0.4
"339",0.3,1,0.1,0,0.9,0.1,0.45
"340",0.3,1,0.1,0,0.9,0.2,0.4
"341",0.3,1,0.1,0,0.9,0.2,0.45
"342",0.3,1,0.1,0,0.9,0.3,0.4
"343",0.3,1,0.1,0,0,0.1,0.4
"344",0.3,1,0.1,0,0,0.1,0.45
"345",0.3,1,0.1,0,0,0.2,0.4
"346",0.3,1,0.1,0,0,0.2,0.45
"347",0.3,1,0.1,0,0,0.3,0.4
"348",0.3,1,0.1,0,1,0.1,0.4
"349",0.3,1,0.1,0,1,0.1,0.45
"350",0.3,1,0.1,0,1,0.2,0.4
"351",0.3,1,0.1,0,1,0.2,0.45
"352",0.3,1,0.1,0,1,0.3,0.4
"353",0,1,0.1,0,0.1,0.1,0.5
"354",0,1,0.1,0,0.2,0.1,0.5
"355",0,1,0.1,0,0.3,0.1,0.5
"356",0,1,0.1,0,0.4,0.1,0.5
"357",0,1,0.1,0,0.5,0.1,0.5
"358",0,1,0.1,0,0.6,0.1,0.5
"359",0,1,0.1,0,0.7,0.1,0.5
"360",0,1,0.1,0,0.8,0.1,0.5
"361",0,1,0.1,0,0.9,0.1,0.5
"362",0,1,0.1,0,0,0.1,0.5
"363",0,1,0.1,0,1,0.1,0.5
"364",0,1,0.2,0,0.1,0.1,0.45
"365",0,1,0.2,0,0.1,0.2,0.3
"366",0,1,0.2,0,0.2,0.1,0.45
"367",0,1,0.2,0,0.2,0.2,0.3
"368",0,1,0.2,0,0.3,0.1,0.45
"369",0,1,0.2,0,0.3,0.2,0.3
"370",0,1,0.2,0,0.4,0.1,0.45
"371",0,1,0.2,0,0.4,0.2,0.3
"372",0,1,0.2,0,0.5,0.1,0.45
"373",0,1,0.2,0,0.5,0.2,0.3
"374",0,1,0.2,0,0.6,0.1,0.45
"375",0,1,0.2,0,0.6,0.2,0.3
"376",0,1,0.2,0,0.7,0.1,0.45
"377",0,1,0.2,0,0.7,0.2,0.3
"378",0,1,0.2,0,0.8,0.1,0.45
"379",0,1,0.2,0,0.8,0.2,0.3
"380",0,1,0.2,0,0.9,0.1,0.45
"381",0,1,0.2,0,0.9,0.2,0.3
"382",0,1,0.2,0,0,0.1,0.45
"383",0,1,0.2,0,0,0.2,0.3
"384",0,1,0.2,0,1,0.1,0.45
"385",0,1,0.2,0,1,0.2,0.3
"386",0,1,0.3,0,0.1,0.2,0.45
"387",0,1,0.3,0,0.2,0.2,0.45
"388",0,1,0.3,0,0.3,0.2,0.45
"389",0,1,0.3,0,0.4,0.2,0.45
"390",0,1,0.3,0,0.5,0.2,0.45
"391",0,1,0.3,0,0.6,0.2,0.45
"392",0,1,0.3,0,0.7,0.2,0.45
"393",0,1,0.3,0,0.8,0.2,0.45
"394",0,1,0.3,0,0.9,0.2,0.45
"395",0,1,0.3,0,0,0.2,0.45
"396",0,1,0.3,0,1,0.2,0.45
"397",0.1,1,0.1,0.5,0.1,0.1,0.35
"398",0.1,1,0.1,0.5,0.1,0.2,0.25
"399",0.1,1,0.1,0.5,0.1,0.2,0.4
"400",0.1,1,0.1,0.5,0.1,0.3,0.45
"401",0.1,1,0.1,0.5,0.1,0.4,0.3
"402",0.1,1,0.1,0.5,0.2,0.1,0.35
"403",0.1,1,0.1,0.5,0.2,0.2,0.25
"404",0.1,1,0.1,0.5,0.2,0.2,0.4
"405",0.1,1,0.1,0.5,0.2,0.3,0.45
"406",0.1,1,0.1,0.5,0.2,0.4,0.3
"407",0.1,1,0.1,0.5,0.3,0.1,0.35
"408",0.1,1,0.1,0.5,0.3,0.2,0.4
"409",0.1,1,0.1,0.5,0.3,0.3,0.45
"410",0.1,1,0.1,0.5,0.3,0.4,0.3
"411",0.1,1,0.1,0.5,0.4,0.1,0.35
"412",0.1,1,0.1,0.5,0.4,0.2,0.4
"413",0.1,1,0.1,0.5,0.4,0.3,0.45
"414",0.1,1,0.1,0.5,0.4,0.4,0.3
"415",0.1,1,0.1,0.5,0.5,0.2,0.4
"416",0.1,1,0.1,0.5,0.5,0.3,0.45
"417",0.1,1,0.1,0.5,0.5,0.4,0.3
"418",0.1,1,0.1,0.5,0.6,0.2,0.4
"419",0.1,1,0.1,0.5,0.6,0.3,0.45
"420",0.1,1,0.1,0.5,0.7,0.2,0.4
"421",0.1,1,0.1,0.5,0.7,0.3,0.45
"422",0.1,1,0.1,0.5,0.8,0.2,0.4
"423",0.1,1,0.1,0.5,0.8,0.3,0.45
"424",0.1,1,0.1,0.5,0.9,0.3,0.45
"425",0.1,1,0.1,0.5,0,0.1,0.35
"426",0.1,1,0.1,0.5,0,0.2,0.25
"427",0.1,1,0.1,0.5,0,0.2,0.4
"428",0.1,1,0.1,0.5,0,0.3,0.45
"429",0.1,1,0.1,0.5,0,0.4,0.3
"430",0.1,1,0.1,0.5,1,0.3,0.45
"431",0.1,1,0.2,0.5,0.1,0.1,0.4
"432",0.1,1,0.2,0.5,0.1,0.2,0.35
"433",0.1,1,0.2,0.5,0.1,0.2,0.45
"434",0.1,1,0.2,0.5,0.1,0.3,0.35
"435",0.1,1,0.2,0.5,0.1,0.3,0.5
"436",0.1,1,0.2,0.5,0.1,0.4,0.35
"437",0.1,1,0.2,0.5,0.1,0.5,0.35
"438",0.1,1,0.2,0.5,0.1,0.6,0.35
"439",0.1,1,0.2,0.5,0.2,0.1,0.4
"440",0.1,1,0.2,0.5,0.2,0.2,0.35
"441",0.1,1,0.2,0.5,0.2,0.2,0.45
"442",0.1,1,0.2,0.5,0.2,0.3,0.35
"443",0.1,1,0.2,0.5,0.2,0.3,0.5
"444",0.1,1,0.2,0.5,0.2,0.4,0.35
"445",0.1,1,0.2,0.5,0.2,0.5,0.35
"446",0.1,1,0.2,0.5,0.2,0.6,0.35
"447",0.1,1,0.2,0.5,0.3,0.1,0.4
"448",0.1,1,0.2,0.5,0.3,0.2,0.35
"449",0.1,1,0.2,0.5,0.3,0.2,0.45
"450",0.1,1,0.2,0.5,0.3,0.3,0.35
"451",0.1,1,0.2,0.5,0.3,0.3,0.5
"452",0.1,1,0.2,0.5,0.3,0.4,0.35
"453",0.1,1,0.2,0.5,0.3,0.5,0.35
"454",0.1,1,0.2,0.5,0.3,0.6,0.35
"455",0.1,1,0.2,0.5,0.4,0.1,0.4
"456",0.1,1,0.2,0.5,0.4,0.2,0.35
"457",0.1,1,0.2,0.5,0.4,0.2,0.45
"458",0.1,1,0.2,0.5,0.4,0.3,0.35
"459",0.1,1,0.2,0.5,0.4,0.3,0.5
"460",0.1,1,0.2,0.5,0.4,0.4,0.35
"461",0.1,1,0.2,0.5,0.4,0.5,0.35
"462",0.1,1,0.2,0.5,0.4,0.6,0.35
"463",0.1,1,0.2,0.5,0.5,0.1,0.4
"464",0.1,1,0.2,0.5,0.5,0.2,0.35
"465",0.1,1,0.2,0.5,0.5,0.2,0.45
"466",0.1,1,0.2,0.5,0.5,0.3,0.35
"467",0.1,1,0.2,0.5,0.5,0.3,0.5
"468",0.1,1,0.2,0.5,0.5,0.4,0.35
"469",0.1,1,0.2,0.5,0.5,0.5,0.35
"470",0.1,1,0.2,0.5,0.5,0.6,0.35
"471",0.1,1,0.2,0.5,0.6,0.1,0.4
"472",0.1,1,0.2,0.5,0.6,0.2,0.35
"473",0.1,1,0.2,0.5,0.6,0.2,0.45
"474",0.1,1,0.2,0.5,0.6,0.3,0.35
"475",0.1,1,0.2,0.5,0.6,0.3,0.5
"476",0.1,1,0.2,0.5,0.6,0.4,0.35
"477",0.1,1,0.2,0.5,0.6,0.5,0.35
"478",0.1,1,0.2,0.5,0.6,0.6,0.35
"479",0.1,1,0.2,0.5,0.7,0.2,0.35
"480",0.1,1,0.2,0.5,0.7,0.2,0.45
"481",0.1,1,0.2,0.5,0.7,0.3,0.35
"482",0.1,1,0.2,0.5,0.7,0.3,0.5
"483",0.1,1,0.2,0.5,0.7,0.4,0.35
"484",0.1,1,0.2,0.5,0.7,0.5,0.35
"485",0.1,1,0.2,0.5,0.7,0.6,0.35
"486",0.1,1,0.2,0.5,0.8,0.2,0.45
"487",0.1,1,0.2,0.5,0.8,0.3,0.5
"488",0.1,1,0.2,0.5,0.9,0.2,0.45
"489",0.1,1,0.2,0.5,0.9,0.3,0.5
"490",0.1,1,0.2,0.5,0,0.1,0.4
"491",0.1,1,0.2,0.5,0,0.2,0.35
"492",0.1,1,0.2,0.5,0,0.2,0.45
"493",0.1,1,0.2,0.5,0,0.3,0.35
"494",0.1,1,0.2,0.5,0,0.3,0.5
"495",0.1,1,0.2,0.5,0,0.4,0.35
"496",0.1,1,0.2,0.5,0,0.5,0.35
"497",0.1,1,0.2,0.5,0,0.6,0.35
"498",0.1,1,0.2,0.5,1,0.2,0.45
"499",0.1,1,0.2,0.5,1,0.3,0.5
"500",0.2,1,0.1,0.5,0.1,0.1,0.3
"501",0.2,1,0.1,0.5,0.1,0.1,0.35
"502",0.2,1,0.1,0.5,0.1,0.1,0.5
"503",0.2,1,0.1,0.5,0.1,0.2,0.3
"504",0.2,1,0.1,0.5,0.1,0.3,0.4
"505",0.2,1,0.1,0.5,0.1,0.4,0.4
"506",0.2,1,0.1,0.5,0.2,0.1,0.3
"507",0.2,1,0.1,0.5,0.2,0.1,0.35
"508",0.2,1,0.1,0.5,0.2,0.1,0.5
"509",0.2,1,0.1,0.5,0.2,0.2,0.3
"510",0.2,1,0.1,0.5,0.2,0.3,0.4
"511",0.2,1,0.1,0.5,0.2,0.4,0.4
"512",0.2,1,0.1,0.5,0.3,0.1,0.3
"513",0.2,1,0.1,0.5,0.3,0.1,0.35
"514",0.2,1,0.1,0.5,0.3,0.1,0.5
"515",0.2,1,0.1,0.5,0.3,0.2,0.3
"516",0.2,1,0.1,0.5,0.3,0.3,0.4
"517",0.2,1,0.1,0.5,0.3,0.4,0.4
